state,date,cases,deaths,incidence
NM,2020-08-20 00:00:00,23951,734,1142.2486049172344
NY,2020-08-20 00:00:00,427803,32861,2199.0986637356523
NC,2020-08-20 00:00:00,149904,2465,1429.2791705329596
ND,2020-08-20 00:00:00,9242,130,1212.762216197632
OH,2020-08-20 00:00:00,112003,3929,958.1832647509218
OK,2020-08-20 00:00:00,50669,709,1280.499654912811
OR,2020-08-20 00:00:00,24165,412,572.9375729212136
PA,2020-08-20 00:00:00,131692,7520,1028.683902165515
PR,2020-08-20 00:00:00,28143,367,959.3960335555097
RI,2020-08-20 00:00:00,20871,1028,1970.1499300049747
SC,2020-08-20 00:00:00,109320,2401,2123.2486403400926
SD,2020-08-20 00:00:00,10691,157,1208.4882423623117
TN,2020-08-20 00:00:00,139175,1488,2037.947781093292
TX,2020-08-20 00:00:00,579892,11174,1999.9116426226199
UT,2020-08-20 00:00:00,47982,381,1496.6509230626227
VT,2020-08-20 00:00:00,1537,58,246.31844471617288
VA,2020-08-20 00:00:00,109879,2427,1287.3148076877342
WA,2020-08-20 00:00:00,69389,1837,911.22751166694
WV,2020-08-20 00:00:00,8987,167,501.46556058180494
WI,2020-08-20 00:00:00,68233,1067,1171.8982130153815
WY,2020-08-20 00:00:00,3457,34,597.3125255935545
AL,2020-08-21 00:00:00,113632,1996,2317.5140240476344
AK,2020-08-21 00:00:00,4588,30,627.1657929450682
AZ,2020-08-21 00:00:00,196899,4688,2705.133335998639
AR,2020-08-21 00:00:00,55652,663,1844.1224148420504
CA,2020-08-21 00:00:00,658900,11946,1667.5852431790536
CO,2020-08-21 00:00:00,54211,1910,941.3697728112558
CT,2020-08-21 00:00:00,51519,4460,1445.0169088771813
DE,2020-08-21 00:00:00,16770,600,1722.18319839304
DC,2020-08-21 00:00:00,13469,602,1908.4688749116187
FL,2020-08-21 00:00:00,593286,10168,2762.330128169462
GA,2020-08-21 00:00:00,249630,4998,2351.135487396518
HI,2020-08-21 00:00:00,6072,46,428.8523256339556
ID,2020-08-21 00:00:00,29364,305,1643.1411280507425
IL,2020-08-21 00:00:00,217345,8066,1715.1836346173136
IN,2020-08-21 00:00:00,84317,3208,1252.4399458781718
IA,2020-08-21 00:00:00,55331,1029,1753.7170332195487
KS,2020-08-21 00:00:00,36895,426,1266.427168509814
KY,2020-08-21 00:00:00,42265,864,946.018206793559
LA,2020-08-21 00:00:00,141720,4687,3048.5325871613154
ME,2020-08-21 00:00:00,4286,129,318.84851496638925
MD,2020-08-21 00:00:00,102899,3674,1702.0252477802333
MA,2020-08-21 00:00:00,125216,8901,1816.6985201167126
MI,2020-08-21 00:00:00,104618,6634,1047.5568039073758
MN,2020-08-21 00:00:00,68133,1799,1208.1107419774908
MS,2020-08-21 00:00:00,76323,2214,2564.4885387122754
MO,2020-08-21 00:00:00,73623,1445,1199.574153863801
MT,2020-08-21 00:00:00,6216,89,581.5987978794474
NE,2020-08-21 00:00:00,31626,376,1634.9187968618826
NV,2020-08-21 00:00:00,64433,1185,2091.874567392041
NH,2020-08-21 00:00:00,7071,428,520.0369784461551
NJ,2020-08-21 00:00:00,188817,15941,2125.7933009764483
NM,2020-08-21 00:00:00,24095,739,1149.1161177187075
NY,2020-08-21 00:00:00,428512,32864,2202.7432406848293
NC,2020-08-21 00:00:00,151910,2494,1448.4056382462231
ND,2020-08-21 00:00:00,9474,132,1243.2059333754996
OH,2020-08-21 00:00:00,113046,3955,967.1061073992007
OK,2020-08-21 00:00:00,51746,715,1307.7174434687545
OR,2020-08-21 00:00:00,24421,414,579.0071784940598
PA,2020-08-21 00:00:00,132417,7537,1034.3470846600478
PR,2020-08-21 00:00:00,28846,374,983.3613326206242
RI,2020-08-21 00:00:00,21022,1030,1984.4038056904114
SC,2020-08-21 00:00:00,110378,2459,2143.797460880523
SD,2020-08-21 00:00:00,10884,159,1230.3045580274436
TN,2020-08-21 00:00:00,140844,1549,2062.3870471011573
TX,2020-08-21 00:00:00,585632,11418,2019.7075577734643
UT,2020-08-21 00:00:00,48445,383,1511.0927841225619
VT,2020-08-21 00:00:00,1541,58,246.95948165752918
VA,2020-08-21 00:00:00,110857,2436,1298.7728104172693
WA,2020-08-21 00:00:00,69779,1850,916.3490544121892
WV,2020-08-21 00:00:00,9077,171,506.48747005686477
WI,2020-08-21 00:00:00,69059,1068,1186.084719895494
WY,2020-08-21 00:00:00,3524,37,608.8890194364149
AL,2020-07-05 00:00:00,43953,1007,896.4173287363212
AK,2020-07-05 00:00:00,1134,16,155.0143873582623
AZ,2020-07-05 00:00:00,98103,1825,1347.8062136500155
AR,2020-07-05 00:00:00,23814,287,789.1168545074498
CA,2020-07-05 00:00:00,264681,6373,669.8711940353243
CO,2020-07-05 00:00:00,34048,1701,591.2408556322083
CT,2020-07-05 00:00:00,46717,4335,1310.3292946682836
DE,2020-07-05 00:00:00,12128,512,1245.4763166434575
DC,2020-07-05 00:00:00,10482,559,1485.230584811314
FL,2020-07-05 00:00:00,200111,3731,931.7136158246094
GA,2020-07-05 00:00:00,95516,2860,899.6156600335129
HI,2020-07-05 00:00:00,1023,19,72.25229399267732
ID,2020-07-05 00:00:00,7733,93,432.72069007003097
IL,2020-07-05 00:00:00,147251,7020,1162.0350382158965
IN,2020-07-05 00:00:00,48201,2693,715.9749259493786
IA,2020-07-05 00:00:00,31517,721,998.9318778981133
