,state_x,date,total,covid,pct,rolling_pct,state_y,cases,deaths,incidence,rolling_incidence
57,Massachusetts,2020-06-09,3300,922,0.2793939393939394,0.326888573459936,MA,263.0,55.0,3.8157400874545147,3.6609825680646586
58,Massachusetts,2020-06-10,3318,828,0.24954792043399637,0.28583340872655266,MA,267.0,46.0,3.8737741572256255,3.4820441862702864
59,Massachusetts,2020-06-11,3876,1396,0.36016511867905054,0.29636899283566215,MA,511.0,38.0,7.41385241326725,5.03445555264913
60,Massachusetts,2020-06-12,3174,960,0.30245746691871456,0.30405683534392053,MA,392.0,46.0,5.687338837574316,5.658321802689064
61,Massachusetts,2020-06-13,1395,462,0.3311827956989247,0.33126846043222996,MA,336.0,38.0,4.87486186077831,5.992017703873292
62,Massachusetts,2020-06-14,1288,424,0.32919254658385094,0.3209442697338301,MA,208.0,48.0,3.0177716281009452,4.5266574421511905
63,Massachusetts,2020-06-15,3217,893,0.27758781473422445,0.3126543856723334,MA,87.0,23.0,1.2622410175229106,3.0516248354673885
64,Massachusetts,2020-06-16,3104,899,0.28962628865979384,0.2988022166592898,MA,195.0,17.0,2.829160901344494,2.3697245156561166
65,Massachusetts,2020-06-17,3272,845,0.25825183374083127,0.2751553123782832,MA,266.0,69.0,3.8592656397829614,2.650222519550122
66,Massachusetts,2020-06-18,3661,1015,0.27724665391969405,0.2750415921067731,MA,271.0,36.0,3.9318082269967363,3.5400782560413973
67,Massachusetts,2020-06-19,2953,741,0.2509312563494751,0.2621432480033335,MA,228.0,30.0,3.3079419769567266,3.6996719479121416
68,Massachusetts,2020-06-20,1358,538,0.3961708394698085,0.3081162499129926,MA,286.0,28.0,4.1494359886385155,3.7963953975306595
69,Massachusetts,2020-06-21,1369,598,0.4368151935719503,0.36130576313041135,MA,125.0,30.0,1.8135646803493728,3.0903142153148715
70,Massachusetts,2020-06-22,2923,1032,0.35306192268217584,0.3953493185746449,MA,149.0,16.0,2.1617690989758103,2.7082565893212327
71,Massachusetts,2020-06-23,3057,1015,0.33202486097481193,0.3739673257429794,MA,229.0,16.0,3.322450494399618,2.432594757908267
72,Massachusetts,2020-06-24,3215,937,0.2914463452566096,0.32551104297119915,MA,172.0,48.0,2.495465000160266,2.659894864511898
73,Massachusetts,2020-06-25,3353,1138,0.33939755442886965,0.32095625355343044,MA,226.0,25.0,3.2789249420711712,3.032280145543685
74,Massachusetts,2020-06-26,2977,944,0.3170977494121599,0.31598054969921313,MA,233.0,50.0,3.380484564170729,3.0516248354673885
75,Massachusetts,2020-06-27,1452,453,0.3119834710743802,0.3228262583051366,MA,373.0,28.0,5.4116770061616535,4.023695504134518
76,Massachusetts,2020-06-28,1402,568,0.4051355206847361,0.3447389137237587,MA,224.0,19.0,3.2499079071853885,4.014023159172591
77,Massachusetts,2020-06-29,3223,1047,0.3248526217809494,0.34732387118002195,MA,101.0,35.0,1.4653602617222532,3.375648391689765
78,Massachusetts,2020-06-30,3077,985,0.32011699707507313,0.35003504651358625,MA,114.0,-41.0,1.6539709884782496,2.1230797191286306
79,Massachusetts,2020-07-01,2953,1015,0.3437182526244497,0.3295626238268241,MA,0.0,0.0,0.0,1.0397770834001676
80,Massachusetts,2020-07-02,2804,809,0.2885164051355207,0.31745055161168123,MA,456.0,79.0,6.615883953913226,2.756618314130492
81,Massachusetts,2020-07-03,2005,709,0.3536159600997506,0.328616872619907,MA,290.0,17.0,4.207470058409854,3.6077846707743597
82,Massachusetts,2020-07-04,1228,532,0.43322475570032576,0.358452373645199,MA,210.0,23.0,3.0467886629865006,4.62338089176986
83,Massachusetts,2020-07-05,1378,589,0.4274310595065312,0.4047572584355359,MA,136.0,11.0,1.9731583722198138,3.075805697872056
84,Massachusetts,2020-07-06,3086,1102,0.3570965651328581,0.4059174601132384,MA,163.0,15.0,2.364888343175153,2.4616117927938226
85,Massachusetts,2020-07-07,3357,1237,0.3684837652666071,0.38433712996866554,MA,201.0,15.0,2.9162120060013876,2.4180862404654513
86,Massachusetts,2020-07-08,3431,994,0.2897114543864762,0.3384305949286472,MA,264.0,30.0,3.8302486048971787,3.037116318024573
87,Massachusetts,2020-07-09,3442,994,0.2887855897733876,0.31566026980882367,MA,295.0,25.0,4.280012645623856,3.675491085507474
88,Massachusetts,2020-07-10,3436,949,0.27619324796274736,0.28489676404087044,MA,213.0,28.0,3.0903142153144927,3.733525155278509
89,Massachusetts,2020-07-11,1585,677,0.42712933753943216,0.3307027250918558,MA,288.0,14.0,4.178453023524526,3.849593294820958
90,Massachusetts,2020-07-12,1523,764,0.5016414970453054,0.401654694182495,MA,199.0,15.0,2.8871949711158322,3.3853207366516167
91,Massachusetts,2020-07-13,3396,1121,0.3300942285041225,0.41962168769628666,MA,230.0,5.0,3.336959011842282,3.4675356688275465
92,Massachusetts,2020-07-14,3541,1138,0.32137814176786217,0.3843712891057634,MA,303.0,10.0,4.3960807851660775,3.5400782560413973
93,Massachusetts,2020-07-15,3407,1002,0.2941003815673613,0.31519091727978205,MA,217.0,28.0,3.1483482850860582,3.6271293606981394
94,Massachusetts,2020-07-16,3568,1054,0.2954035874439462,0.30362737025972325,MA,234.0,12.0,3.394993081613393,3.6464740506218427
95,Massachusetts,2020-07-17,3347,980,0.29279952195996417,0.29410116365709055,MA,298.0,22.0,4.323538197951848,3.6222931882170997
96,Massachusetts,2020-07-18,1690,759,0.44911242603550294,0.34577184514647114,MA,359.0,17.0,5.208557761962766,4.309029680509336
97,Massachusetts,2020-07-19,1436,593,0.4129526462395543,0.3849548647450072,MA,296.0,12.0,4.294521163066747,4.60887237432712
98,Massachusetts,2020-07-20,2814,868,0.30845771144278605,0.3901742612392811,MA,255.0,2.0,3.699671947912293,4.400916957647269
99,Massachusetts,2020-07-21,3439,939,0.27304448967723177,0.33148494911985743,MA,244.0,17.0,3.54007825604117,3.84475712234007
100,Massachusetts,2020-07-22,3264,966,0.2959558823529412,0.2924860278243197,MA,287.0,18.0,4.163944506081634,3.801231570011699
101,Massachusetts,2020-07-23,3773,1209,0.3204346673734429,0.29647834646787197,MA,327.0,16.0,4.744285203793197,4.149435988638667
102,Massachusetts,2020-07-24,1373,450,0.3277494537509104,0.31471333449243155,MA,338.0,14.0,4.903878895663411,4.604036201846081
103,Massachusetts,2020-07-25,405,87,0.21481481481481482,0.28766631197972276,MA,283.0,12.0,4.105910436310523,4.584691511922377
104,Massachusetts,2020-07-26,426,152,0.3568075117370892,0.2997905934342715,MA,369.0,19.0,5.353642936390315,4.7878107561214165
105,Massachusetts,2020-07-27,1082,303,0.2800369685767098,0.283886431709538,MA,289.0,7.0,4.19296154096719,4.5508383045560095
106,Massachusetts,2020-07-28,1339,358,0.26736370425690814,0.3014027281902358,MA,256.0,15.0,3.714180465354957,4.420261647570821
107,Massachusetts,2020-07-29,2572,658,0.2558320373250389,0.26774423671955233,MA,502.0,29.0,7.283275756281682,5.063472587534609
108,Massachusetts,2020-07-30,3356,1040,0.3098927294398093,0.27769615700725214,MA,414.0,0.0,0.0,3.6658187405455465
109,Massachusetts,2020-07-31,3996,1052,0.26326326326326327,0.27632934334270387,MA,514.0,29.0,13.463904186911577,6.915726647731087
110,Massachusetts,2020-08-01,1590,510,0.32075471698113206,0.2979702365614016,MA,428.0,17.0,6.209645465515223,6.557849884142267
111,Massachusetts,2020-08-02,1333,558,0.4186046511627907,0.3342075438023954,MA,418.0,12.0,6.0645602910872185,8.57936998117134
112,Massachusetts,2020-08-03,3418,850,0.248683440608543,0.32934760291748866,MA,199.0,10.0,2.8871949711158322,5.053800242572758
113,Massachusetts,2020-08-04,1773,485,0.27354765933446135,0.3136119170352651,MA,546.0,9.0,7.921650523764583,5.624468595322544
114,Massachusetts,2020-08-05,1137,306,0.2691292875989446,0.26378679584731635,MA,440.0,2.0,6.383747674828783,5.730864389903066
115,Massachusetts,2020-08-06,1290,296,0.22945736434108527,0.2573781037581638,MA,231.0,32.0,3.3514675292851734,5.885621909292847
116,Massachusetts,2020-08-07,1760,424,0.2409090909090909,0.24649858094970697,MA,417.0,18.0,6.050051773644327,5.261755659252761
117,Massachusetts,2020-08-08,1599,491,0.3070669168230144,0.25914445735773023,MA,420.0,12.0,6.093577325973001,5.165032209634167
118,Massachusetts,2020-08-09,1538,457,0.29713914174252276,0.28170504982487604,MA,329.0,14.0,4.77330223867898,5.638977112765436
119,Massachusetts,2020-08-10,3055,751,0.2458265139116203,0.2833441908257192,MA,275.0,6.0,3.9898422967676197,4.952240620473201
120,Massachusetts,2020-08-11,3766,1233,0.3274030801911843,0.2901229119484425,MA,392.0,10.0,5.687338837574771,4.816827791007124
121,Massachusetts,2020-08-12,3980,899,0.22587939698492462,0.2663696636959098,MA,293.0,18.0,0.0,3.225727044780797
122,Massachusetts,2020-08-13,4152,961,0.23145472061657033,0.26157906593089314,MA,423.0,21.0,0.0,1.8957796125249236
123,Massachusetts,2020-08-14,3881,831,0.21412007214635403,0.22381806324928302,MA,305.0,20.0,11.955018372861332,3.9850061242871107
124,Massachusetts,2020-08-15,1801,548,0.3042754025541366,0.24995006510568704,MA,471.0,16.0,9.691689651785055,7.215569341548796
125,Massachusetts,2020-08-16,1746,568,0.32531500572737687,0.28123682680928924,MA,394.0,12.0,5.716355872460554,9.121021299035647
126,Massachusetts,2020-08-17,3506,1081,0.3083285795778665,0.31263966261979337,MA,248.0,4.0,3.598112325812508,6.335385950019372
127,Massachusetts,2020-08-18,3342,833,0.2492519449431478,0.2942985100827971,MA,222.0,6.0,3.220891367127251,4.178453188466771
128,Massachusetts,2020-08-19,3784,848,0.22410147991543342,0.2605606681454826,MA,352.0,28.0,5.1069976450355625,3.975333779325107
129,Massachusetts,2020-08-20,3917,957,0.24431963237171306,0.23922435241009812,MA,313.0,12.0,4.541165959594082,4.289684990585632
130,Massachusetts,2020-08-21,3545,717,0.20225669957686884,0.22355927062133849,MA,488.0,13.0,7.080156512083249,5.5761067055709646
131,Massachusetts,2020-08-22,1594,492,0.3086574654956085,0.2517445991480635,MA,144.0,20.0,2.0892265117615807,4.570182994479637
132,Massachusetts,2020-08-23,1560,500,0.32051282051282054,0.2771423285284327,MA,0.0,0.0,0.0,3.056461007948277
133,Massachusetts,2020-08-24,3239,962,0.29700524853349797,0.3087251781806424,MA,662.0,28.0,9.604638547128616,3.8979550196300656
134,Massachusetts,2020-08-25,3628,1100,0.3031973539140022,0.30690514098677363,MA,398.0,12.0,5.774389942231437,5.126342829786684
135,Massachusetts,2020-08-26,3695,1031,0.2790257104194858,0.29307610428899533,MA,336.0,26.0,4.87486186077831,6.751296783379455
136,Massachusetts,2020-08-27,3962,1033,0.2607269056032307,0.2809833233122396,MA,368.0,21.0,5.339134418947651,5.329462073985799
137,Massachusetts,2020-08-28,3582,1062,0.2964824120603015,0.27874500936100605,MA,460.0,16.0,6.673918023684564,5.629304767803508
